12346.0	2,0,0.0,0.0
12347.0	7,2446,4299.800000000002,614.2571428571431
12348.0	4,2332,1437.2400000000002,359.31000000000006
12349.0	1,630,1457.5499999999997,1457.5499999999997
12350.0	1,196,294.40000000000003,294.40000000000003
12352.0	8,463,1265.41,158.17625
12353.0	1,20,89.0,89.0
12354.0	1,530,1079.4000000000003,1079.4000000000003
12355.0	1,240,459.4,459.4
12356.0	3,1573,2487.430000000001,829.1433333333338
12357.0	1,2628,6101.109999999998,6101.109999999998
12358.0	2,242,928.0599999999998,464.0299999999999
12359.0	6,1559,6166.180000000001,1027.696666666667
12360.0	3,1144,2297.019999999998,765.6733333333327
12361.0	1,90,174.89999999999998,174.89999999999998
12362.0	13,2180,4665.580000000004,358.8907692307695
12363.0	2,408,551.9999999999999,275.99999999999994
12364.0	4,1487,1203.0600000000002,300.76500000000004
12365.0	1,173,320.69,320.69
12367.0	1,172,150.89999999999998,150.89999999999998
12370.0	4,2307,3288.439999999998,822.1099999999994
12371.0	1,582,1527.9600000000005,1527.9600000000005
12372.0	3,788,1196.0399999999995,398.67999999999984
12373.0	1,196,324.6,324.6
12374.0	1,339,622.9300000000001,622.9300000000001
12375.0	3,175,375.4200000000001,125.14000000000003
12377.0	2,930,1543.08,771.54
12378.0	1,2525,3957.6200000000013,3957.6200000000013
12379.0	3,401,775.2900000000001,258.43
12380.0	5,1109,2423.5599999999986,484.7119999999997
12381.0	4,761,1412.0100000000004,353.0025000000001
12383.0	6,1508,1538.86,256.47666666666663
12384.0	3,117,406.15999999999997,135.38666666666666
12386.0	2,354,401.90000000000003,200.95000000000002
12388.0	6,1462,2780.6599999999994,463.4433333333332
12390.0	1,350,504.84000000000003,504.84000000000003
12391.0	1,281,434.97999999999996,434.97999999999996
12393.0	4,804,1572.4000000000008,393.1000000000002
12394.0	2,808,1080.4800000000002,540.2400000000001
12395.0	15,2092,2662.28,177.48533333333336
12397.0	2,1250,2214.9,1107.45
12398.0	1,1389,1435.66,1435.66
12399.0	4,1173,1033.65,258.4125
12401.0	1,10,69.3,69.3
12402.0	1,92,195.6,195.6
12403.0	1,94,391.7,391.7
12405.0	1,849,1390.39,1390.39
12406.0	3,1809,3280.7500000000023,1093.5833333333342
12407.0	5,1403,1507.1200000000003,301.4240000000001
12408.0	8,1370,2577.37,322.17125
12409.0	7,5543,11056.93,1579.5614285714287
12410.0	3,205,521.0799999999999,173.6933333333333
12412.0	3,800,1133.52,377.84
12413.0	4,281,676.15,169.0375
12414.0	3,297,442.41,147.47
12415.0	24,75026,121906.33999999984,5079.4308333333265
12417.0	12,1514,3155.800000000002,262.9833333333335
12418.0	1,407,668.5799999999999,668.5799999999999
12420.0	1,345,600.39,600.39
12421.0	4,478,639.0399999999998,159.75999999999996
12422.0	3,367,683.5600000000001,227.85333333333335
12423.0	9,1312,1624.1099999999997,180.45666666666662
12424.0	2,740,1760.9599999999996,880.4799999999998
12425.0	1,496,777.1999999999998,777.1999999999998
12426.0	1,254,510.72999999999996,510.72999999999996
