CustomerID,TotalTransactions,TotalProductsPurchased,TotalSpend,AvgTransactionValue,Cluster,Cluster_Label
12346.0,2.0,0.0,0.0,0.0,1,Khách không hoạt động
12347.0,7.0,2446.0,4299.800000000002,614.2571428571431,3,Khách VIP
12348.0,4.0,2332.0,1437.2400000000002,359.31000000000006,3,Khách VIP
12349.0,1.0,630.0,1457.5499999999997,1457.5499999999997,2,Khách mua ít nhưng giá trị cao
12350.0,1.0,196.0,294.40000000000003,294.40000000000003,2,Khách mua ít nhưng giá trị cao
12352.0,8.0,463.0,1265.41,158.17625,0,Khách thông thường
12353.0,1.0,20.0,89.0,89.0,1,Khách không hoạt động
12354.0,1.0,530.0,1079.4000000000003,1079.4000000000003,2,Khách mua ít nhưng giá trị cao
12355.0,1.0,240.0,459.4,459.4,2,Khách mua ít nhưng giá trị cao
12356.0,3.0,1573.0,2487.430000000001,829.1433333333338,3,Khách VIP
12357.0,1.0,2628.0,6101.109999999998,6101.109999999998,3,Khách VIP
12358.0,2.0,242.0,928.0599999999998,464.0299999999999,2,Khách mua ít nhưng giá trị cao
12359.0,6.0,1559.0,6166.180000000001,1027.696666666667,3,Khách VIP
12360.0,3.0,1144.0,2297.019999999998,765.6733333333327,3,Khách VIP
12361.0,1.0,90.0,174.89999999999998,174.89999999999998,1,Khách không hoạt động
12362.0,13.0,2180.0,4665.580000000004,358.8907692307695,3,Khách VIP
12363.0,2.0,408.0,551.9999999999999,275.99999999999994,2,Khách mua ít nhưng giá trị cao
12364.0,4.0,1487.0,1203.0600000000002,300.76500000000004,0,Khách thông thường
12365.0,1.0,173.0,320.69,320.69,2,Khách mua ít nhưng giá trị cao
12367.0,1.0,172.0,150.89999999999998,150.89999999999998,1,Khách không hoạt động
12370.0,4.0,2307.0,3288.439999999998,822.1099999999994,3,Khách VIP
12371.0,1.0,582.0,1527.9600000000005,1527.9600000000005,2,Khách mua ít nhưng giá trị cao
12372.0,3.0,788.0,1196.0399999999995,398.67999999999984,0,Khách thông thường
12373.0,1.0,196.0,324.6,324.6,2,Khách mua ít nhưng giá trị cao
12374.0,1.0,339.0,622.9300000000001,622.9300000000001,2,Khách mua ít nhưng giá trị cao
12375.0,3.0,175.0,375.4200000000001,125.14000000000003,0,Khách thông thường
12377.0,2.0,930.0,1543.08,771.54,2,Khách mua ít nhưng giá trị cao
12378.0,1.0,2525.0,3957.6200000000013,3957.6200000000013,3,Khách VIP
12379.0,3.0,401.0,775.2900000000001,258.43,0,Khách thông thường
12380.0,5.0,1109.0,2423.5599999999986,484.7119999999997,3,Khách VIP
12381.0,4.0,761.0,1412.0100000000004,353.0025000000001,0,Khách thông thường
12383.0,6.0,1508.0,1538.86,256.47666666666663,0,Khách thông thường
12384.0,3.0,117.0,406.15999999999997,135.38666666666666,1,Khách không hoạt động
12386.0,2.0,354.0,401.90000000000003,200.95000000000002,2,Khách mua ít nhưng giá trị cao
12388.0,6.0,1462.0,2780.6599999999994,463.4433333333332,3,Khách VIP
12390.0,1.0,350.0,504.84000000000003,504.84000000000003,2,Khách mua ít nhưng giá trị cao
12391.0,1.0,281.0,434.97999999999996,434.97999999999996,2,Khách mua ít nhưng giá trị cao
12393.0,4.0,804.0,1572.4000000000008,393.1000000000002,0,Khách thông thường
12394.0,2.0,808.0,1080.4800000000002,540.2400000000001,2,Khách mua ít nhưng giá trị cao
12395.0,15.0,2092.0,2662.28,177.48533333333336,3,Khách VIP
12397.0,2.0,1250.0,2214.9,1107.45,3,Khách VIP
12398.0,1.0,1389.0,1435.66,1435.66,2,Khách mua ít nhưng giá trị cao
12399.0,4.0,1173.0,1033.65,258.4125,0,Khách thông thường
12401.0,1.0,10.0,69.3,69.3,1,Khách không hoạt động
12402.0,1.0,92.0,195.6,195.6,1,Khách không hoạt động
12403.0,1.0,94.0,391.7,391.7,2,Khách mua ít nhưng giá trị cao
12405.0,1.0,849.0,1390.39,1390.39,2,Khách mua ít nhưng giá trị cao
12406.0,3.0,1809.0,3280.7500000000023,1093.5833333333342,3,Khách VIP
12407.0,5.0,1403.0,1507.1200000000003,301.4240000000001,0,Khách thông thường
12408.0,8.0,1370.0,2577.37,322.17125,3,Khách VIP
12409.0,7.0,5543.0,11056.93,1579.5614285714287,3,Khách VIP
12410.0,3.0,205.0,521.0799999999999,173.6933333333333,0,Khách thông thường
12412.0,3.0,800.0,1133.52,377.84,0,Khách thông thường
12413.0,4.0,281.0,676.15,169.0375,0,Khách thông thường
12414.0,3.0,297.0,442.41,147.47,0,Khách thông thường
12415.0,24.0,75026.0,121906.33999999984,5079.4308333333265,3,Khách VIP
